has_seizure,seizure_ratio,preictal_ratio,global_mean,global_std,global_max,global_min,global_range,global_rms,mean_amplitude,std_amplitude,mean_hjorth_activity,mean_hjorth_mobility,mean_hjorth_complexity,mean_delta_power,mean_theta_power,mean_alpha_power,mean_beta_power,mean_gamma_power,mean_spectral_entropy,mean_channel_corr,std_channel_corr,weighted_mutation_0,weighted_mutation_1,weighted_mutation_2,weighted_mutation_3,weighted_mutation_4,weighted_mutation_5,weighted_mutation_6,weighted_mutation_7,weighted_mutation_8,SCN1A_pLI,SCN8A_pLI,PRS,mutation_burden,ion_channel_burden,tier1_flag,SCN1A_severity_proxy
0,0.0,0.0,0.22148347418658426,177.7395444719658,1486.22406338473,-2131.412912851818,4620.912431078723,30.728040299259128,0.17386436072217712,27.56263841359129,2635.6910287249207,0.5316901328284751,9.007435391569738,0.24176465626297158,0.07263969209318297,0.0594151613670204,0.01310197472553857,0.3989840441228101,5.148904917850476,0.08017014923493579,0.2811273238998058,0.0,0.0,0.0,0.9,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1.8088778428138619,0.02,0.17,0,0.0
0,0.006280182170517105,0.5,0.1838077025670917,239.26894889572608,2752.2960805411253,-1903.8321920540202,1237.7010470038463,88.12376235134411,0.21962484778492491,40.35640904198341,3367.0043991055027,0.24569129545245452,1.7338470483913642,0.308699136939334,0.10309471870522219,0.029287528712369053,0.10255356191994691,0.12069599168372427,4.056373221889008,0.10918662940843682,0.211630227530853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2082198254806444,0.48,0.0,0,0.0
1,0.0014086328493733708,0.0,0.18344337971651953,43.819435963831324,1773.876455651287,-1394.5056964956364,2417.912484897423,51.21512757906113,0.38777411128436284,11.017646710192746,2250.5806848499,0.7209372676819147,3.1802771023370484,0.37470568406886284,0.05973047034670656,0.03167886892399667,0.05443698353435346,0.02610172876714368,4.034925769588893,0.14742287963783215,0.29258672127534724,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1.1725361646796428,0.55,1.9,0,0.0
0,0.00043411609184711,0.0,0.1797642226713025,89.1093515592597,1786.773952408625,-3313.7334327548933,5079.484018222956,89.24088365087037,0.21030395603281812,167.1245041628602,15350.91430312621,0.4539561158576438,2.0970722499183783,0.3200028860223254,0.07471274024042468,0.03770995481152468,0.12473561175192904,0.09946104726409492,3.9840618435327233,0.029388490206226185,0.24176452913084856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.1875642363178818,0.06,0.0,0,1.0
0,0.0,0.0,0.21220096584849107,17.062660404943788,1404.2138710976674,-1094.829544830747,3879.710843355516,25.396803131109614,0.1689612271398249,11.017646710192746,5433.008627984582,0.07970563127091645,3.161965031832284,0.32035320458264027,0.10859950574848931,0.0781897820710063,0.043116927157519545,0.0008896859130973724,2.221644948621416,0.11001873088006006,0.2086157029885749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9546570380348085,0.99,0.0,0,0.0
0,0.00012459686937917462,0.5,0.3792998703804802,53.744886212778326,2621.5799020963805,-903.3479491915482,594.2857142857142,72.75639665815254,0.31688425749144195,28.411323996117602,1243.4299355175322,0.4405694685233482,4.894913647184328,0.47132544079561367,0.04430249412330187,0.058443420318305656,0.060923893813891496,0.10555862155267605,4.121004413824452,0.10015618787749886,0.27179160301273003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.8487402632895547,0.05,1.9,1,0.0
1,0.0,0.0,0.18316703152695324,11.230558223625241,2427.4705111534095,-1667.0150407319493,2781.853580677254,47.30097562263404,0.3068196872691398,24.590500765642588,5826.19708607839,0.07970563127091645,6.750563708467475,0.4701780678831805,0.19426250841833062,0.029249943945025017,0.14553948502801325,0.0008896859130973724,2.9076863224192384,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9694188034091553,0.51,0.0,1,0.0
0,0.0025233011591246175,0.4,0.20425111614092736,77.74950236929507,726.1370090296143,-2130.0402530092933,1394.1166327096173,56.24061313986391,0.21564611397235395,38.45640962491501,126.12536055470191,0.7466743060622278,1.1981988368940815,0.4650793785615688,0.04552798180679188,0.06113129113088296,0.12849028809634405,0.041143188004997035,5.358032024990631,0.09675229000301896,0.30880396046257075,0.0,0.0,0.95,0.0,0.0,0.65,0.0,0.0,0.0,1.0,1.0,1.7696782855749364,0.02,1.22,1,0.0
0,0.0018643709334864066,0.0,0.18367363088815908,82.43523706787025,1830.556913823406,-2753.2217372706004,3079.0715854367254,66.42195477866265,0.22050837605245163,11.017646710192746,126.12536055470191,0.18651994862633198,1.1981988368940815,0.359419313196515,0.1443616737281254,0.023985881113025947,0.06515168880296832,0.0008896859130973724,4.265031931667616,0.11032943987082611,0.18003510408687504,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1.1782812102116165,1.9,0.0,1,0.0
0,0.0,0.5,0.18239665359121277,11.230558223625241,1328.0462151026934,-2183.948622072518,1848.0931364576895,80.0637889887682,0.30706661668240925,11.017646710192746,4645.25789855059,0.24770720633563048,2.9584691132647043,0.5344825192233076,0.04595279307759784,0.04949381263062267,0.031001248171231524,0.1012476350652031,4.8332428552536095,0.05380213342531587,,1.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,1.0,1.0,1.3402024851698835,1.3,0.0,0,1.0
0,0.014931349841643335,0.5,0.41475260444558687,57.46282446992109,1858.943634347908,-2177.0366136080584,1281.4598933753018,52.60110828947521,0.21572358623637622,53.01164345276922,230.4958413083598,0.13530443364391523,4.0926559878868725,0.4836564741488484,0.05993356234030907,0.07070195269971369,0.04533812018826903,0.03301704940745732,2.646624197694912,0.16228620943647715,0.23639466723243818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1670271457858257,0.16,1.03,0,0.0
0,0.0036686266776091445,0.4,0.21702888404810772,13.377831185628231,2001.2721489105488,-1854.5547053847133,2709.110506447397,29.136755077050235,0.17833038628951864,159.6550355673245,2706.350667037415,0.20885637580359034,2.8251758350301275,0.43337129314933315,0.25448378173642705,0.04348865877721075,0.04628619359633342,0.013708609197781503,4.017862737611487,0.11095401466872201,0.18003510408687504,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1.1670271457858257,0.52,0.88,1,1.0
0,0.0,0.0,0.1947485295351014,29.17345429982997,2757.6646083854525,-3948.4113080936236,2183.3719154606247,12.698980258786186,0.1600480323276309,38.14952560699755,126.12536055470191,0.3384038718046233,4.655808051012587,0.5067758273016605,0.08236755258742998,0.016973390814884984,0.1716082383494933,0.027558601544201783,4.6730682114845505,0.1455981568156569,0.3030531314424152,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.9275620742058794,0.24,0.0,1,0.0
