has_seizure,seizure_ratio,preictal_ratio,global_mean,global_std,global_max,global_min,global_range,global_rms,mean_amplitude,std_amplitude,mean_hjorth_activity,mean_hjorth_mobility,mean_hjorth_complexity,mean_delta_power,mean_theta_power,mean_alpha_power,mean_beta_power,mean_gamma_power,mean_spectral_entropy,mean_channel_corr,std_channel_corr,weighted_mutation_0,weighted_mutation_1,weighted_mutation_2,weighted_mutation_3,weighted_mutation_4,weighted_mutation_5,weighted_mutation_6,weighted_mutation_7,weighted_mutation_8,SCN1A_pLI,SCN8A_pLI,PRS,mutation_burden,ion_channel_burden,tier1_flag,SCN1A_severity_proxy
0,0.0,0.0,0.20347157706759153,38.25276266917839,1037.948717948718,-882.4420024420025,1920.3907203907206,38.25330381166001,0.20347157706759156,34.5231082965548,1463.2728389786746,0.447647454945158,3.108098018903257,0.4285142175373993,0.14134616279233966,0.04136493832274961,0.11286040674389301,0.10872514428656528,4.359364201628105,0.140115202486478,0.2538946897346478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2237973749107718,0.0,0.0,0,0.0
0,0.0,0.0,0.205757046563206,33.17058229870755,798.046398046398,-1387.6434676434676,2185.6898656898657,33.17122044781502,0.20575704656320595,31.52402238346831,1100.286508550127,0.3676322883910722,3.511495392194659,0.4290508468864566,0.15458654695873422,0.05946724992285938,0.10467049635431985,0.08592704442661367,4.11504553047457,0.11645310057612508,0.2532047897392828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2237973749107718,0.0,0.0,0,0.0
1,0.011111111111111112,0.5,0.19529684117546436,42.59739245922266,595.2625152625153,-721.0744810744811,1316.3369963369964,42.59784014690431,0.19529684117546434,41.888304830447986,1814.5376482863453,0.18830545201421628,6.179988002337451,0.557772989774577,0.13562013493319436,0.04097991125240597,0.04000480042552895,0.016720924117064554,3.103232244005116,0.13569651036757438,0.3034260416251291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2237973749107718,0.0,0.0,0,0.0
1,0.0075,0.5,0.1952930439796382,34.332927492174974,936.3614163614163,-1285.6654456654458,2222.026862026862,34.33348292201027,0.1952930439796382,33.60488241563589,1178.7496728121334,0.2676504150725239,4.749808882178626,0.5048895140348846,0.15664181505799987,0.054270117097610586,0.06801969928982199,0.03479707405485871,3.5914243235673387,0.11698432510842477,0.26875280637804994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2237973749107718,0.0,0.0,0,0.0
0,0.0,0.0,0.2014740677331257,41.91043931341944,1167.2771672771673,-1386.080586080586,2553.3577533577536,41.910923578988125,0.20147406773312573,37.8581108407801,1756.4842873478742,0.34883306004215714,4.211047761192054,0.5007063697988265,0.13625943136302512,0.035077781574957945,0.07384320894726369,0.07032062280120463,3.859881152384688,0.1288814907708807,0.269018143083085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2237973749107718,0.0,0.0,0,0.0
0,0.0,0.0,0.20021046787351138,41.10325724735178,1098.901098901099,-1570.8913308913309,2669.79242979243,41.103744848534454,0.20021046787351135,36.372707008628105,1689.4771267389344,0.38869267021815723,3.6997124452537284,0.47345900398242496,0.15206510951357294,0.04013601767626651,0.08178326854288583,0.08045625076396482,4.072461800913967,0.1507257853011418,0.27207116474201803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2237973749107718,0.0,0.0,0,0.0
0,0.0,0.0,0.19452354040216358,40.84015519749304,1174.3101343101343,-1497.045177045177,2671.3553113553116,40.840618457157184,0.1945235404021636,37.20116581899479,1667.9175309680097,0.3936534750880242,3.6667925033644906,0.46432162153634204,0.1398055871843055,0.038137625592200144,0.09213769934665562,0.08802675871303854,4.109270015817995,0.13212253082496697,0.2531796739600278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2237973749107718,0.0,0.0,0,0.0
0,0.0,0.0,0.19919663502091034,33.44865797646908,1220.805860805861,-1477.899877899878,2698.705738705739,33.4492511086005,0.1991966350209104,30.587976641343253,1118.8122266017301,0.36630445410711543,3.7014078367131837,0.4694442704585503,0.157969677204287,0.04207143527491365,0.08228388839997587,0.0753123449703212,4.005587525101502,0.12193211478206202,0.2553201522992938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2237973749107718,0.0,0.0,0,0.0
0,0.0,0.0,0.1996492202108144,43.18119305241654,1209.4749694749694,-1582.2222222222222,2791.6971916971916,43.18165459128676,0.1996492202108144,39.19937453711611,1864.6148783331303,0.43405181519248265,3.3241762747115,0.4431511862786387,0.13332891809599023,0.036816421759596867,0.10147885162144318,0.10490326877732675,4.24912324321684,0.12043008610013631,0.25365400006416555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2237973749107718,0.0,0.0,0,0.0
0,0.0,0.0,0.19551558546123765,41.503697941804646,1171.5750915750916,-1514.2368742368742,2685.811965811966,41.504158456577784,0.19551558546123765,37.95722780216577,1722.55651407585,0.46692573551182687,3.137573609429862,0.43116742826119653,0.13656429243942964,0.03632708365956788,0.10075317493204797,0.1118002419486733,4.318282069501584,0.11320793392128192,0.2391957255328919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2237973749107718,0.0,0.0,0,0.0
