delta_power_mean,delta_power_std,theta_power_mean,theta_power_std,alpha_power_mean,alpha_power_std,beta_power_mean,beta_power_std,gamma_power_mean,gamma_power_std,alpha_beta_ratio_mean,alpha_beta_ratio_std,theta_alpha_ratio_mean,theta_alpha_ratio_std,spike_rate_mean,spike_rate_std,variance_mean,variance_std,hjorth_activity_mean,hjorth_activity_std,hjorth_mobility_mean,hjorth_mobility_std,hjorth_complexity_mean,hjorth_complexity_std,sample_entropy_mean,sample_entropy_std,preictal_ratio,n_valid_epochs,has_seizure,SCN1A_mutation,SCN8A_mutation,KCNQ2_mutation,SCN2A_mutation,KCNT1_mutation,DEPDC5_mutation,PCDH19_mutation,GRIN2A_mutation,GABRA1_mutation,SCN1A_pLI,SCN8A_pLI,polygenic_risk_score
1.3638573271208998e-11,2.2376473384834987e-10,1.670602361865155e-10,1.856292120636523e-11,9.346581155238644e-11,3.037968340698532e-11,2.1205857515330975e-11,5.1201839452666276e-11,5.5139365107121e-12,1.283825412298266e-11,1.1111985633088781,0.061735072293767124,13.453748263854973,1.0441860699159498,0.026615355570444366,0.015598864396505846,1.5023659057587278e-09,2.1469189309663306e-10,1.933647828613939e-09,2.9272342698651286e-10,0.2508100968764605,0.09401458382912886,2.766090225903084,0.1713591174275887,0.990743897834035,0.2593529061711528,0.012275666551368566,2275,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.8902694117866898
4.99897780199134e-10,9.907441767817612e-10,8.422435096996045e-11,7.990556182561645e-11,4.183182739090999e-10,4.735322800333156e-12,2.131275197801673e-11,2.3648941142763126e-10,1.0454444636888357e-11,6.55673491646568e-12,2.8812625923316784,0.04791105146542918,15.490521595574169,1.3901762664028543,0.19122752853004357,0.13255333048108842,5.936966738598448e-11,3.205177130310689e-10,7.615597929705363e-10,2.623947510391278e-10,0.34739849813140844,0.0,3.035401312021897,0.0871304397540843,1.401062462835748,0.19053900249584146,0.14620832071801482,2531,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.045272155807743686
2.630993146056763e-10,1.1106368380751962e-10,1.6063250910155835e-10,3.303019093967942e-11,9.862494603253768e-11,6.976422732582852e-12,1.1780017050985436e-10,4.094629355486588e-11,4.103746663930514e-12,9.79801695978764e-12,1.9468132293926486,0.26454646013049204,6.629216137133677,2.0157618808340962,0.24514755644639374,0.07900661111166811,1.5068713718763553e-09,1.0277767115018593e-09,5.364222935472721e-11,7.735215436218362e-10,0.06802280413361603,0.01250043797896671,2.809494228583814,0.17027038337187012,1.603672859117053,0.3004925510457538,0.0,1029,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.9789623513125204
1.2364306701750452e-09,5.313672294889193e-10,1.8469734825922e-10,4.045270785017018e-11,2.7733662937215893e-10,2.7518577086379332e-11,1.654656389373386e-11,4.8330662435960705e-11,7.134688374109351e-13,4.583558408274269e-11,1.2718149578781497,-0.056829012810006685,14.828216369243753,2.8541089705089098,0.10248656513894783,0.027488393542443076,1.0667039142948333e-09,6.766711698468694e-10,6.606107461234422e-10,5.799400065844613e-10,0.1589491433843953,0.0974858641192999,2.920805390543426,0.6963928672148072,1.4349083334257768,0.08606865423300127,0.9985328142417247,1585,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.3062695986161452
1.3114799134852694e-09,1.158717231765422e-09,4.248809598906606e-10,3.7188183643261896e-11,3.838397074840819e-10,3.870356473838234e-11,1.56046760323668e-11,2.5418067579114288e-11,2.946565379068094e-11,2.0713232432462464e-11,1.5441570035997714,0.5266505024338252,18.139633216693078,2.024442348896621,0.02230058464123516,0.10606714677454725,3.0859904930310606e-09,8.431489079249089e-11,1.565288285771675e-09,8.074851491946435e-10,0.33298378462905365,0.011785938566211587,4.581311364961905,0.12880286883864056,1.7262849103261813,0.2313076115144606,0.0,2313,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.515700930951493
3.0953860225207864e-10,6.48002359738558e-10,2.3203517956328513e-10,7.924760773711098e-11,1.6402878393741688e-11,6.492032733649887e-12,5.541575971186326e-11,1.4775368569700605e-11,3.3567046269631604e-12,6.690936924866929e-11,1.4443502630743978,0.028419610216360025,15.771795077197993,1.0792718995088806,0.04182192098446247,0.028012653407586963,3.1034286526157506e-10,5.998120087570276e-11,1.074762712652555e-09,3.958941086263979e-10,0.2745553395366679,0.0009818257197296842,3.4071477668254366,0.06786493397399318,1.798645324299537,0.15168244717745585,0.5640814849329905,1285,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.025803095278215
1.5869529937574829e-09,3.5670734337879327e-10,9.61339463630226e-11,7.020896783721796e-11,1.8447875556939707e-10,4.5274992875784694e-11,3.733747920907243e-11,2.1935914579013103e-10,1.6204312133356014e-11,3.3726335163485534e-11,1.2853529761468208,0.6020542729980601,1.831594539236805,2.581227538527943,0.21561414980973895,0.075256782330798,3.6807327244596934e-10,2.6523060328377087e-10,1.4945546746624067e-09,2.9274538353504697e-10,0.14430343322285366,0.03334384884871989,3.5477980489888563,0.3432271414534793,1.597583377098225,0.30753842352647076,0.0,2353,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.8657498835122217
1.5910682146454745e-10,4.495131861252645e-10,1.0768237061947227e-11,4.8995287289867725e-11,4.692126416632646e-10,2.983652690732357e-11,1.404922109658772e-11,1.410270855222298e-10,5.338090309919433e-13,2.8270445399170627e-11,1.157048289823891,0.2538855524657408,9.401725033581894,1.8179583555435535,0.04206860411393046,0.014310773949246972,2.738554387348238e-10,2.438407598947662e-11,3.079353576134313e-10,1.243925285730917e-09,0.3519602673052028,0.07464845042985853,3.0568183232687183,1.341787260039552,1.1323516827384323,0.17090062386210716,0.0,2612,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.47256693074244166
4.3874117669395556e-10,6.005402812940612e-10,1.4533553707176768e-10,8.236729537223517e-11,8.822644947664711e-11,7.2628499037471846e-12,1.4612932847490127e-11,4.9826140487644683e-11,1.2865690877521629e-11,1.1317453040410508e-10,2.2134894757216776,0.3479456093420619,3.955652065263264,2.6493921352964813,0.18157283997775042,0.06213507651127682,8.648889307233435e-10,2.203882593976428e-09,2.384568023879666e-10,8.318035011121541e-10,0.21590116046307917,0.0,5.471644464772379,0.09292274206913848,1.5036733668785012,0.27422744673391986,0.2716259833357061,2214,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.044124916362563216
1.9019915849471997e-10,6.01879874244813e-10,2.890438023269321e-10,2.3116125961096235e-11,5.149127945115861e-10,9.903056994678451e-12,2.001752394402064e-11,4.032282746686246e-11,9.75382626312579e-12,1.1486444705098209e-12,1.9089214810258976,0.36905878042726586,9.143067646367363,1.9475481298892094,0.054689078105936845,0.026547954451766248,1.4372774048614985e-09,3.7481626976255365e-11,2.9212113423747812e-09,5.474005457983002e-10,0.2079206625598094,0.08999865081381495,5.563521555419933,0.017939474917504694,1.3818067686953512,0.3036814484168143,0.0,1276,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0.5921543783905726
